id,title,genre,rating,year,director,description,cast,duration
1,The Shawshank Redemption,Drama,9.3,1994,Frank Darabont,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Tim Robbins, Morgan Freeman, Bob Gunton",142
2,The Godfather,Crime,9.2,1972,Francis Ford Coppola,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","Marlon Brando, Al Pacino, James Caan",175
3,The Dark Knight,Action,9.0,2008,Christopher Nolan,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests.","Christian Bale, Heath Ledger, Aaron Eckhart",152
4,Pulp Fiction,Crime,8.9,1994,Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife intertwine in four tales of violence and redemption.","John Travolta, Uma Thurman, Samuel L. Jackson",154
5,Schindler's List,Biography,8.9,1993,Steven Spielberg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce.","Liam Neeson, Ralph Fiennes, Ben Kingsley",195
6,Forrest Gump,Drama,8.8,1994,Robert Zemeckis,"The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man.","Tom Hanks, Robin Wright, Gary Sinise",142
7,Fight Club,Drama,8.8,1999,David Fincher,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much more.","Brad Pitt, Edward Norton, Helena Bonham Carter",139
8,Inception,Sci-Fi,8.8,2010,Christopher Nolan,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea.","Leonardo DiCaprio, Marion Cotillard, Tom Hardy",148
9,The Matrix,Sci-Fi,8.7,1999,Lana Wachowski,"A computer programmer is led to fight an underground war against powerful computers who have constructed his entire reality.","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",136
10,Goodfellas,Biography,8.7,1990,Martin Scorsese,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners.","Robert De Niro, Ray Liotta, Joe Pesci",146
11,One Flew Over the Cuckoo's Nest,Drama,8.7,1975,Milos Forman,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse.","Jack Nicholson, Louise Fletcher, Danny DeVito",133
12,Seven,Crime,8.6,1995,David Fincher,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Morgan Freeman, Brad Pitt, Kevin Spacey",127
13,The Silence of the Lambs,Thriller,8.6,1991,Jonathan Demme,"A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer.","Jodie Foster, Anthony Hopkins, Scott Glenn",118
14,City of God,Crime,8.6,2002,Fernando Meirelles,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele",130
